,SHAP Zero: Frameshift frequency,SHAP Zero: Highest 1-bp insertion,Linear: Frameshift frequency,Pairwise: Frameshift frequency,Linear: Highest 1-bp insertion,Pairwise: Highest 1-bp insertion,Model: Frameshift frequency,Model: Highest 1-bp insertion
0,81.06974746698873,23.47122312650405,77.49230386829021,74.42314192688293,26.624978976901602,23.75272092010233,74.42810029494728,23.233114189154193
1,75.6192058814734,22.555455450090953,73.26381647667044,82.67394467310015,25.14833598922781,21.241124742813426,78.3465885767971,21.582735235766055
2,90.0505036813436,37.43303287099697,75.2573631446937,74.10494892604655,34.39071510605794,31.705885018054328,85.17035670559885,38.122096320358196
3,75.69273268332047,40.1698458515606,83.76544849406699,90.78226576909552,37.518951375074494,37.292019308270994,78.07709573088957,42.90871249878044
4,26.70274171223225,5.708723449024387,66.28561111484865,65.89423608999903,6.509642006407581,2.7563228892320466,30.06580031687632,5.04737805403661
5,51.82844054906915,14.221874384967366,74.839039792064,68.32715160304936,13.538461877317722,9.67631864336641,63.673844344238844,12.962624871340594
6,46.10796500201021,15.372760073799553,73.88785744586264,64.65270550452146,16.27628174421978,17.151659266190126,43.63319436432158,13.895993668003626
7,51.343676539031314,2.7276246092600713,70.28397434903708,59.081251759487294,-1.5872439137920935,3.4273513421792994,44.70769753125234,3.0593419110752076
8,81.22910010997313,12.9141943215841,81.7647870229456,83.27156396055281,12.961888952794995,13.820832294925625,79.94738859094892,9.140412544236142
9,93.36841764109184,41.321286094962566,88.03111465703294,90.17461034003378,37.8855124826694,37.001000572406774,90.19915534775842,36.958202793119085
10,87.57405177551563,15.192944945515242,77.5214112593438,83.40558412239545,16.132917466307664,14.98139555680309,89.22390105935636,14.61353322634883
11,69.03675358377617,1.9205783383883384,67.2275403576153,72.87661166120125,10.074562863848056,9.709204059279436,64.33998444740288,2.322410136406779
12,88.7277888774328,23.085762879719578,76.95270589788576,87.9488742268648,25.217942038966907,22.741937907408207,88.52107603736779,23.88015830266836
13,79.09751796226989,2.5473522665036725,70.80794714841446,75.00552676912343,-1.1245432506667967,5.651766415720157,67.67558698896934,2.8519649770871056
14,74.97046452485121,0.8463666728766412,78.02718913502288,76.62116791740831,-1.3954568873443165,2.5747844249731884,78.43758530695692,2.3308228937040205
15,86.68027040696438,2.9434877986619665,75.41638804449522,82.90626608768008,-1.4332678011514588,2.775611186824376,82.44742286029584,2.874459469001361
16,94.90019104006788,18.08148681963005,68.68541386215388,77.93055829392874,17.07080979439415,15.736794442000127,93.94374355114552,16.639450893203772
17,90.83569292861469,22.63270950244977,89.31124127998869,85.18518883557864,23.304786357412663,20.744482520627727,89.87006721496826,22.81600917180503
18,101.00427205899277,23.848338472434964,80.76546564526602,95.70685184404155,22.647707223371235,15.701675019231393,95.98573950666385,26.368741471999734
19,79.21820303822412,39.32811541998454,95.19602345387095,96.53609656233915,35.721168821491226,35.884085700404874,74.4451888354516,38.59747321898483
20,83.55957130194133,0.9606774186974968,77.53421732244608,85.68922626057206,3.524493212341497,5.7220328617057135,82.20566813492857,1.3366040500246417
